title,labels,context,requirements,branch,execution,commit_message
Enforce semver-breaking-change detection on the SDK's public API surface,"Stellar Wave, sdk","The `sdk/` package has no automated guard against accidental breaking changes shipping in a minor/patch release — `packages/` consumers and the CLI currently discover breakage only after publish, which is unacceptable once external integrators depend on mainnet SDK stability.","- Generate a public API snapshot for `sdk/` (extend `scripts/generate-types.ts` output or use a dedicated API-extractor) and commit it as the compatibility baseline
- Add a CI check that diffs the current API surface against the baseline and fails the build when a breaking change isn't paired with a major version bump in the changeset
- Cover at minimum: removed/renamed exports, changed function signatures, changed enum members, narrowed return types
- Document the enforcement policy in `docs/sdk-api-reference.md`",tooling/sdk-api-breaking-change-detection,- Add SDK public API snapshot baseline and CI diff-and-fail check for undeclared breaking changes,chore: enforce semver breaking-change detection on SDK public API surface
Replace ad hoc thrown errors in the SDK with a typed error taxonomy matching docs/errors.md,"Stellar Wave, sdk","`docs/errors.md` documents an intended error taxonomy, but the actual `sdk/` implementation still throws untyped `Error` instances in several code paths, which makes it impossible for integrators to reliably catch and branch on specific failure modes (RPC timeout vs. simulation failure vs. invalid input).","- Audit every `throw` site in `sdk/` and classify it against the taxonomy in `docs/errors.md`
- Introduce typed error classes (or a discriminated error union) for each documented category and replace the untyped throws
- Add exhaustive unit tests asserting the correct error type/code is thrown for each failure path
- Update `docs/errors.md` to close any gaps discovered between the doc and actual behavior",fix/sdk-typed-error-taxonomy,- Introduce typed SDK error classes matching docs/errors.md and replace untyped throws across sdk/,fix: replace untyped SDK errors with typed taxonomy matching docs/errors.md
Add retry/backoff with jitter and a circuit breaker for transient Soroban RPC failures in the SDK,"Stellar Wave, sdk","SDK calls into the Soroban RPC currently fail immediately on transient network errors or RPC-side rate limiting, forcing every consumer (frontend, CLI, examples) to reimplement its own retry logic inconsistently.","- Add a configurable retry policy (exponential backoff + jitter, bounded max attempts) around all Soroban RPC calls in `sdk/`
- Add a circuit breaker that trips after a sustained failure rate and fails fast rather than piling up retries against a degraded RPC node
- Make both policies overridable by the consumer, with sane mainnet-appropriate defaults
- Add fault-injection tests simulating RPC timeouts, 429s, and connection resets",feat/sdk-rpc-retry-circuit-breaker,- Add retry-with-jitter and circuit-breaker wrapper around SDK Soroban RPC calls,feat: add retry/backoff and circuit breaker for SDK Soroban RPC calls
Add multi-endpoint Soroban RPC failover with health scoring to the SDK,"Stellar Wave, sdk","The SDK currently talks to a single configured Soroban RPC endpoint; a single provider outage on mainnet takes down every SDK consumer at once, which is an unacceptable single point of failure for a production protocol.","- Support a prioritized list of RPC endpoints in SDK configuration instead of a single URL
- Implement continuous health scoring (latency, error rate) per endpoint and route requests away from unhealthy nodes automatically
- Ensure failover is transparent to in-flight simulation/submission flows and doesn't silently drop a transaction mid-submission
- Document the failover behavior and configuration in `docs/sdk-trust-model.md`",feat/sdk-multi-rpc-failover,- Add prioritized multi-endpoint Soroban RPC failover with continuous health scoring to the SDK,feat: add multi-endpoint RPC failover with health scoring to the SDK
Close type-generation drift between SDK request/response shapes and packages/ generated types,"Stellar Wave, sdk","`scripts/generate-types.ts` and `scripts/generate-shared-types.mts` generate shared types, but nothing currently verifies the hand-written SDK request/response interfaces haven't drifted from the generated source of truth, which risks silent runtime mismatches against the live contract ABI.","- Add a CI check that regenerates types from source and diffs against the committed output, failing on drift
- Audit `sdk/` for any hand-maintained interfaces that duplicate generated types and replace them with the generated ones
- Cross-check the result against `docs/contract-abi-compatibility.md` for consistency
- Add a pre-commit or CI gate preventing manual edits to generated files from being merged",chore/sdk-generated-types-drift-check,- Add CI drift check between SDK hand-written types and generated shared types,chore: add CI check preventing SDK type drift from generated shared types
Set and enforce a per-entry-point bundle-size regression budget for the SDK,"Stellar Wave, sdk","`scripts/check-bundle-size.js` exists but the SDK has no documented, enforced budget per entry point — bundle bloat currently ships silently until a consumer (frontend bundle) notices, which is too late for a library meant to be embedded broadly.","- Define a explicit size budget per SDK entry point/export, sized against current measured output plus reasonable headroom
- Wire `check-bundle-size.js` to fail CI when any entry point exceeds its budget
- Add a tree-shaking audit identifying and removing any accidentally-bundled dev-only or Node-only code from browser entry points
- Publish the budgets and current numbers in `docs/sdk-api-reference.md`",chore/sdk-bundle-size-budget-enforcement,- Define and enforce per-entry-point SDK bundle-size regression budgets in CI,chore: enforce per-entry-point SDK bundle-size regression budgets
Build a backward-compatibility test matrix for the SDK against its last three minor releases' consumers,"Stellar Wave, sdk","Nothing currently verifies that a new SDK release doesn't break the frontend, CLI, or `examples/` when they're still pinned to an older minor version — this is exactly the class of regression that erodes integrator trust right before mainnet.","- Stand up a test matrix that installs the SDK's last three published minor versions against representative consumer code paths (frontend hooks, CLI commands, example scripts)
- Run this matrix in CI on every SDK change and on a release-candidate cut, not just on the SDK's own unit tests
- Document the supported-version window and deprecation policy referencing `docs/sdk-next-migration.md`
- Fail the release pipeline on any matrix regression",test/sdk-backward-compat-matrix,- Add cross-version backward-compatibility test matrix for the SDK's last three minor releases,test: add SDK backward-compatibility matrix against last three minor releases
Add an offline/degraded-network write queue to the SDK for unreachable Soroban RPC endpoints,"Stellar Wave, sdk","When all configured Soroban RPC endpoints are unreachable, the SDK currently drops write operations with no recovery path, forcing every consumer to build its own queuing/retry UX around a fundamentally unreliable primitive.","- Add an opt-in local write queue that persists pending operations when RPC is unreachable and replays them once connectivity is restored
- Define and document idempotency guarantees for replayed writes (dedup keys, sequence numbers) so a flaky reconnect can't double-submit
- Expose queue state (pending count, oldest pending age) to consumers for UX purposes
- Add chaos tests that kill RPC connectivity mid-queue and verify no duplicate submissions occur",feat/sdk-offline-write-queue,- Add persistent offline write queue with idempotent replay to the SDK for degraded-network conditions,feat: add offline write queue with idempotent replay for degraded SDK network conditions
Build an automated verification harness asserting SDK code matches the documented trust model,"Stellar Wave, sdk","`docs/sdk-trust-model.md` documents the SDK's hop-by-hop trust boundaries, but nothing currently verifies the actual code respects them — a future refactor could silently violate a documented trust boundary (e.g. trusting an unsigned response) with no test catching it.","- Translate each trust-boundary claim in `docs/sdk-trust-model.md` into a concrete, automatable assertion (e.g. ""responses from endpoint X are never trusted without signature verification"")
- Implement the harness as static analysis where possible and integration tests elsewhere
- Run the harness in CI and fail on any violation
- Close any gaps discovered between the documented trust model and actual behavior, updating the doc if the code is intentionally correct and the doc is stale",test/sdk-trust-model-verification-harness,- Add automated verification harness asserting SDK code matches docs/sdk-trust-model.md's trust boundaries,test: add automated trust-boundary verification harness for the SDK
Add deterministic pre/post-release transaction-simulation diffing to catch SDK behavior drift,"Stellar Wave, sdk","There's currently no systematic way to know whether an SDK release changed transaction-simulation behavior for a fixed set of representative operations, which is exactly the kind of silent drift `docs/sdk-next-migration.md` should be capturing but currently can't verify automatically.","- Define a fixed corpus of representative transaction-building scenarios covering the SDK's major operations
- Simulate each scenario against a pinned testnet snapshot both pre- and post-release-candidate, and diff the results
- Fail the release pipeline on any unexplained diff; require an explicit changeset entry for any intentional diff
- Feed confirmed intentional diffs into `docs/sdk-next-migration.md` automatically or via a checklist reminder",test/sdk-simulation-drift-diffing,- Add deterministic pre/post-release transaction-simulation diffing against a fixed scenario corpus,test: add deterministic transaction-simulation drift diffing across SDK releases
